batch_path,label,case_id,final_iteration,convergence_iteration,converged,final_overshoot,final_steady_state_error,demonstration_protocol,stop_reason,analysis_horizon,failed_next_llm_call,max_iterations
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_001_example_K_0.26_T_109,1,1.0,True,0.0,0.0,perturbed_imc_delay_stratified_v1,success_threshold,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_002_example_K_0.74_T_205,1,1.0,True,10.722999999999994,0.016670000000029717,perturbed_imc_delay_stratified_v1,success_threshold,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_003_example_K_0.74_T_205,8,,False,19.660999999999994,0.000999999999995449,perturbed_imc_delay_stratified_v1,max_iterations,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_004_example_K_0.40_T_321,2,2.0,True,0.0,0.19705000000000972,perturbed_imc_delay_stratified_v1,success_threshold,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_005_example_K_0.68_T_328,8,,False,17.179999999999996,0.22105999999999515,perturbed_imc_delay_stratified_v1,max_iterations,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_006_example_K_0.39_T_253,1,1.0,True,0.0,0.00838999999999146,perturbed_imc_delay_stratified_v1,success_threshold,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_007_example_K_0.60_T_240,1,1.0,True,5.554999999999999,0.0,perturbed_imc_delay_stratified_v1,success_threshold,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_008_example_K_0.33_T_129,1,1.0,True,2.9369999999999896,0.0,perturbed_imc_delay_stratified_v1,success_threshold,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_009_example_K_0.34_T_382,1,1.0,True,0.0,0.11450000000000626,perturbed_imc_delay_stratified_v1,success_threshold,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_010_example_K_0.77_T_237,2,2.0,True,12.867000000000006,0.1784599999999692,perturbed_imc_delay_stratified_v1,success_threshold,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_011_example_K_0.39_T_518,1,1.0,True,1.3700000000000045,0.03353999999999857,perturbed_imc_delay_stratified_v1,success_threshold,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_012_example_K_0.77_T_237,1,1.0,True,10.72900000000001,0.0050000000000105516,perturbed_imc_delay_stratified_v1,success_threshold,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_013_example_K_0.27_T_293,8,,False,31.227000000000004,0.014719999999979194,perturbed_imc_delay_stratified_v1,max_iterations,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_014_example_K_0.86_T_134,1,1.0,True,0.0,0.0,perturbed_imc_delay_stratified_v1,success_threshold,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_015_example_K_0.34_T_413,8,,False,27.781999999999996,1.6609799999999897,perturbed_imc_delay_stratified_v1,max_iterations,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_016_example_K_0.73_T_227,1,1.0,True,0.0,0.0017500000000003624,perturbed_imc_delay_stratified_v1,success_threshold,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_017_example_K_0.29_T_279,1,1.0,True,0.0,0.014549999999990959,perturbed_imc_delay_stratified_v1,success_threshold,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_018_example_K_0.67_T_204,1,1.0,True,5.556000000000005,0.0,perturbed_imc_delay_stratified_v1,success_threshold,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_019_example_K_0.45_T_561,8,,False,28.15000000000001,1.08047,perturbed_imc_delay_stratified_v1,max_iterations,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_020_example_K_0.64_T_526,8,,False,25.018000000000008,0.008589999999986109,perturbed_imc_delay_stratified_v1,max_iterations,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_021_example_K_0.47_T_191,1,1.0,True,0.0,0.03422000000000702,perturbed_imc_delay_stratified_v1,success_threshold,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_022_example_K_0.85_T_566,1,1.0,True,9.898000000000007,0.0013799999999841717,perturbed_imc_delay_stratified_v1,success_threshold,,,8
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_023_example_K_0.30_T_209,1,1.0,True,11.891000000000007,0.0,perturbed_imc_delay_stratified_v1,success_threshold,,,8
